"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 00:00:00,-2.22 W/m²,-1.79 W/m²,-886 mW/m²,-772 mW/m²,-2.11 W/m²,0 W/m²
2023-01-01 00:05:00,-2.21 W/m²,-1.80 W/m²,-910 mW/m²,-703 mW/m²,-2.04 W/m²,0 W/m²
2023-01-01 00:10:00,-2.27 W/m²,-1.78 W/m²,-789 mW/m²,-719 mW/m²,-2.01 W/m²,0 W/m²
2023-01-01 00:15:00,-2.30 W/m²,-1.80 W/m²,-717 mW/m²,-745 mW/m²,-2.15 W/m²,0 W/m²
2023-01-01 00:20:00,-2.44 W/m²,-1.86 W/m²,-855 mW/m²,-917 mW/m²,-2.38 W/m²,0 W/m²
2023-01-01 00:25:00,-2.30 W/m²,-1.75 W/m²,-683 mW/m²,-745 mW/m²,-2.15 W/m²,0 W/m²
2023-01-01 00:30:00,-2.31 W/m²,-1.71 W/m²,-655 mW/m²,-719 mW/m²,-2.21 W/m²,0 W/m²
2023-01-01 00:35:00,-2.21 W/m²,-1.57 W/m²,-596 mW/m²,-642 mW/m²,-2.14 W/m²,0 W/m²
2023-01-01 00:40:00,-2.26 W/m²,-1.60 W/m²,-638 mW/m²,-646 mW/m²,-1.97 W/m²,0 W/m²
2023-01-01 00:45:00,-1.97 W/m²,-1.11 W/m²,-272 mW/m²,-302 mW/m²,-1.56 W/m²,0 W/m²
2023-01-01 00:50:00,-1.96 W/m²,-1.01 W/m²,-214 mW/m²,-218 mW/m²,-1.72 W/m²,0 W/m²
2023-01-01 00:55:00,-2.16 W/m²,-1.22 W/m²,-321 mW/m²,-264 mW/m²,-2.11 W/m²,0 W/m²
2023-01-01 01:00:00,-2.33 W/m²,-1.45 W/m²,-565 mW/m²,-489 mW/m²,-2.44 W/m²,0 W/m²
2023-01-01 01:05:00,-2.33 W/m²,-1.44 W/m²,-648 mW/m²,-604 mW/m²,-2.38 W/m²,0 W/m²
2023-01-01 01:10:00,-2.29 W/m²,-1.44 W/m²,-620 mW/m²,-589 mW/m²,-2.31 W/m²,0 W/m²
2023-01-01 01:15:00,-2.49 W/m²,-1.56 W/m²,-614 mW/m²,-600 mW/m²,-2.44 W/m²,0 W/m²
2023-01-01 01:20:00,-2.70 W/m²,-2.01 W/m²,-962 mW/m²,-852 mW/m²,-2.89 W/m²,0 W/m²
2023-01-01 01:25:00,-2.54 W/m²,-2.03 W/m²,-1.08 W/m²,-1.10 W/m²,-2.43 W/m²,0 W/m²
2023-01-01 01:30:00,-2.62 W/m²,-2.13 W/m²,-986 mW/m²,-967 mW/m²,-2.21 W/m²,0 W/m²
2023-01-01 01:35:00,-2.98 W/m²,-2.58 W/m²,-1.27 W/m²,-1.20 W/m²,-2.82 W/m²,0 W/m²
2023-01-01 01:40:00,-3.12 W/m²,-2.67 W/m²,-1.45 W/m²,-1.28 W/m²,-2.93 W/m²,0 W/m²
2023-01-01 01:45:00,-3.28 W/m²,-2.91 W/m²,-1.74 W/m²,-1.48 W/m²,-3.26 W/m²,0 W/m²
2023-01-01 01:50:00,-2.78 W/m²,-2.44 W/m²,-1.49 W/m²,-1.60 W/m²,-2.24 W/m²,0 W/m²
2023-01-01 01:55:00,-2.34 W/m²,-2.08 W/m²,-1.07 W/m²,-1.39 W/m²,-1.99 W/m²,0 W/m²
2023-01-01 02:00:00,-3.08 W/m²,-2.74 W/m²,-1.74 W/m²,-1.92 W/m²,-3.28 W/m²,0 W/m²
2023-01-01 02:05:00,-2.84 W/m²,-2.43 W/m²,-1.74 W/m²,-1.80 W/m²,-2.97 W/m²,0 W/m²
2023-01-01 02:10:00,-2.37 W/m²,-1.98 W/m²,-1.42 W/m²,-1.47 W/m²,-2.53 W/m²,0 W/m²
2023-01-01 02:15:00,-2.19 W/m²,-1.82 W/m²,-1.33 W/m²,-1.25 W/m²,-2.22 W/m²,0 W/m²
2023-01-01 02:20:00,-2.20 W/m²,-1.83 W/m²,-1.33 W/m²,-1.19 W/m²,-2.28 W/m²,0 W/m²
2023-01-01 02:25:00,-2.49 W/m²,-2.23 W/m²,-1.33 W/m²,-1.39 W/m²,-2.62 W/m²,0 W/m²
2023-01-01 02:30:00,-2.66 W/m²,-2.41 W/m²,-1.50 W/m²,-1.49 W/m²,-2.72 W/m²,0 W/m²
2023-01-01 02:35:00,-2.54 W/m²,-2.24 W/m²,-1.36 W/m²,-1.37 W/m²,-2.46 W/m²,0 W/m²
2023-01-01 02:40:00,-2.30 W/m²,-1.84 W/m²,-931 mW/m²,-994 mW/m²,-1.91 W/m²,0 W/m²
2023-01-01 02:45:00,-2.25 W/m²,-1.78 W/m²,-855 mW/m²,-902 mW/m²,-2.07 W/m²,0 W/m²
