Time,date,hour,hour_sin,hour_cos,timestep,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-01-01 00:00:00,2023-01-01,0,0.0,1.0,0,1,0.017213356155834685,0.9998518392091162,-0.00222,-0.0017900000000000001,-0.000886,-0.000772,-0.00211,0.0
2023-01-01 00:05:00,2023-01-01,0,0.0,1.0,1,1,0.017213356155834685,0.9998518392091162,-0.00221,-0.0018,-0.00091,-0.000703,-0.00204,0.0
2023-01-01 00:10:00,2023-01-01,0,0.0,1.0,2,1,0.017213356155834685,0.9998518392091162,-0.00227,-0.0017800000000000001,-0.000789,-0.000719,-0.0020099999999999996,0.0
2023-01-01 00:15:00,2023-01-01,0,0.0,1.0,3,1,0.017213356155834685,0.9998518392091162,-0.0023,-0.0018,-0.000717,-0.000745,-0.00215,0.0
2023-01-01 00:20:00,2023-01-01,0,0.0,1.0,4,1,0.017213356155834685,0.9998518392091162,-0.00244,-0.00186,-0.000855,-0.000917,-0.0023799999999999997,0.0
2023-01-01 00:25:00,2023-01-01,0,0.0,1.0,5,1,0.017213356155834685,0.9998518392091162,-0.0023,-0.00175,-0.000683,-0.000745,-0.00215,0.0
2023-01-01 00:30:00,2023-01-01,0,0.0,1.0,6,1,0.017213356155834685,0.9998518392091162,-0.00231,-0.00171,-0.000655,-0.000719,-0.00221,0.0
2023-01-01 00:35:00,2023-01-01,0,0.0,1.0,7,1,0.017213356155834685,0.9998518392091162,-0.00221,-0.00157,-0.000596,-0.000642,-0.00214,0.0
2023-01-01 00:40:00,2023-01-01,0,0.0,1.0,8,1,0.017213356155834685,0.9998518392091162,-0.00226,-0.0016,-0.000638,-0.000646,-0.00197,0.0
2023-01-01 00:45:00,2023-01-01,0,0.0,1.0,9,1,0.017213356155834685,0.9998518392091162,-0.00197,-0.00111,-0.000272,-0.000302,-0.00156,0.0
2023-01-01 00:50:00,2023-01-01,0,0.0,1.0,10,1,0.017213356155834685,0.9998518392091162,-0.00196,-0.00101,-0.000214,-0.000218,-0.00172,0.0
2023-01-01 00:55:00,2023-01-01,0,0.0,1.0,11,1,0.017213356155834685,0.9998518392091162,-0.00216,-0.00122,-0.000321,-0.000264,-0.00211,0.0
2023-01-01 01:00:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,0,1,0.017213356155834685,0.9998518392091162,-0.00233,-0.00145,-0.000565,-0.000489,-0.00244,0.0
2023-01-01 01:05:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,1,1,0.017213356155834685,0.9998518392091162,-0.00233,-0.0014399999999999999,-0.000648,-0.000604,-0.0023799999999999997,0.0
2023-01-01 01:10:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,2,1,0.017213356155834685,0.9998518392091162,-0.00229,-0.0014399999999999999,-0.00062,-0.000589,-0.00231,0.0
2023-01-01 01:15:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,3,1,0.017213356155834685,0.9998518392091162,-0.00249,-0.00156,-0.000614,-0.0006,-0.00244,0.0
2023-01-01 01:20:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,4,1,0.017213356155834685,0.9998518392091162,-0.0027,-0.0020099999999999996,-0.000962,-0.000852,-0.00289,0.0
2023-01-01 01:25:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,5,1,0.017213356155834685,0.9998518392091162,-0.00254,-0.0020299999999999997,-0.00108,-0.0011,-0.0024300000000000003,0.0
2023-01-01 01:30:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,6,1,0.017213356155834685,0.9998518392091162,-0.00262,-0.00213,-0.000986,-0.000967,-0.00221,0.0
2023-01-01 01:35:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,7,1,0.017213356155834685,0.9998518392091162,-0.00298,-0.0025800000000000003,-0.00127,-0.0012,-0.00282,0.0
2023-01-01 01:40:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,8,1,0.017213356155834685,0.9998518392091162,-0.00312,-0.00267,-0.00145,-0.00128,-0.0029300000000000003,0.0
2023-01-01 01:45:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,9,1,0.017213356155834685,0.9998518392091162,-0.00328,-0.0029100000000000003,-0.00174,-0.00148,-0.00326,0.0
2023-01-01 01:50:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,10,1,0.017213356155834685,0.9998518392091162,-0.00278,-0.00244,-0.00149,-0.0016,-0.0022400000000000002,0.0
2023-01-01 01:55:00,2023-01-01,1,0.25881904510252074,0.9659258262890683,11,1,0.017213356155834685,0.9998518392091162,-0.00234,-0.0020800000000000003,-0.00107,-0.00139,-0.00199,0.0
2023-01-01 02:00:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,0,1,0.017213356155834685,0.9998518392091162,-0.0030800000000000003,-0.0027400000000000002,-0.00174,-0.0019199999999999998,-0.00328,0.0
2023-01-01 02:05:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,1,1,0.017213356155834685,0.9998518392091162,-0.0028399999999999996,-0.0024300000000000003,-0.00174,-0.0018,-0.00297,0.0
2023-01-01 02:10:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,2,1,0.017213356155834685,0.9998518392091162,-0.00237,-0.00198,-0.0014199999999999998,-0.00147,-0.0025299999999999997,0.0
2023-01-01 02:15:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,3,1,0.017213356155834685,0.9998518392091162,-0.00219,-0.00182,-0.00133,-0.00125,-0.00222,0.0
2023-01-01 02:20:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,4,1,0.017213356155834685,0.9998518392091162,-0.0022,-0.00183,-0.00133,-0.0011899999999999999,-0.00228,0.0
2023-01-01 02:25:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,5,1,0.017213356155834685,0.9998518392091162,-0.00249,-0.0022299999999999998,-0.00133,-0.00139,-0.00262,0.0
2023-01-01 02:30:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,6,1,0.017213356155834685,0.9998518392091162,-0.00266,-0.0024100000000000002,-0.0015,-0.00149,-0.00272,0.0
2023-01-01 02:35:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,7,1,0.017213356155834685,0.9998518392091162,-0.00254,-0.0022400000000000002,-0.00136,-0.0013700000000000001,-0.00246,0.0
2023-01-01 02:40:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,8,1,0.017213356155834685,0.9998518392091162,-0.0023,-0.00184,-0.000931,-0.000994,-0.00191,0.0
2023-01-01 02:45:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,9,1,0.017213356155834685,0.9998518392091162,-0.00225,-0.0017800000000000001,-0.000855,-0.000902,-0.00207,0.0
2023-01-01 02:50:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,10,1,0.017213356155834685,0.9998518392091162,-0.00227,-0.00173,-0.000827,-0.000791,-0.00196,0.0
2023-01-01 02:55:00,2023-01-01,2,0.49999999999999994,0.8660254037844387,11,1,0.017213356155834685,0.9998518392091162,-0.00219,-0.00164,-0.000676,-0.000669,-0.0017800000000000001,0.0
2023-01-01 03:00:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,0,1,0.017213356155834685,0.9998518392091162,-0.00219,-0.00138,-0.000469,-0.000501,-0.00174,0.0
2023-01-01 03:05:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,1,1,0.017213356155834685,0.9998518392091162,-0.00222,-0.00126,-0.000321,-0.000348,-0.0017800000000000001,0.0
2023-01-01 03:10:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,2,1,0.017213356155834685,0.9998518392091162,-0.00249,-0.00149,-0.000417,-0.000432,-0.00232,0.0
2023-01-01 03:15:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,3,1,0.017213356155834685,0.9998518392091162,-0.00281,-0.0020499999999999997,-0.000948,-0.000833,-0.00287,0.0
2023-01-01 03:20:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,4,1,0.017213356155834685,0.9998518392091162,-0.00318,-0.00249,-0.0015,-0.0013,-0.00314,0.0
2023-01-01 03:25:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,5,1,0.017213356155834685,0.9998518392091162,-0.003,-0.00239,-0.00139,-0.00106,-0.00292,0.0
2023-01-01 03:30:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,6,1,0.017213356155834685,0.9998518392091162,-0.0030099999999999997,-0.0024700000000000004,-0.00146,-0.0012,-0.0029300000000000003,0.0
2023-01-01 03:35:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,7,1,0.017213356155834685,0.9998518392091162,-0.00304,-0.0025800000000000003,-0.0015,-0.00122,-0.00299,0.0
2023-01-01 03:40:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,8,1,0.017213356155834685,0.9998518392091162,-0.0030600000000000002,-0.00268,-0.00155,-0.0013,-0.00314,0.0
2023-01-01 03:45:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,9,1,0.017213356155834685,0.9998518392091162,-0.00292,-0.0025499999999999997,-0.00138,-0.00133,-0.0028799999999999997,0.0
2023-01-01 03:50:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,10,1,0.017213356155834685,0.9998518392091162,-0.00292,-0.0024300000000000003,-0.00139,-0.0014299999999999998,-0.00304,0.0
2023-01-01 03:55:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,11,1,0.017213356155834685,0.9998518392091162,-0.00267,-0.00206,-0.00109,-0.0011799999999999998,-0.00257,0.0
2023-01-01 04:00:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,0,1,0.017213356155834685,0.9998518392091162,-0.00237,-0.00159,-0.000814,-0.000776,-0.00214,0.0
2023-01-01 04:05:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,1,1,0.017213356155834685,0.9998518392091162,-0.0020800000000000003,-0.00131,-0.000565,-0.00047,-0.00165,0.0
2023-01-01 04:10:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,2,1,0.017213356155834685,0.9998518392091162,-0.0022400000000000002,-0.00133,-0.000403,-0.000348,-0.00171,0.0
2023-01-01 04:15:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,3,1,0.017213356155834685,0.9998518392091162,-0.0023799999999999997,-0.00147,-0.00061,-0.000478,-0.0019399999999999999,0.0
2023-01-01 04:20:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,4,1,0.017213356155834685,0.9998518392091162,-0.00252,-0.00151,-0.000614,-0.000432,-0.00189,0.0
