Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-01-01 00:00:00,6.47,3.16,0.3,9.93
2023-01-01 00:15:00,6.47,3.16,0.3,9.93
2023-01-01 00:30:00,6.47,3.16,0.3,9.93
2023-01-01 00:45:00,6.47,3.16,0.3,9.93
2023-01-01 01:00:00,7.15,0.7,0.3,8.15
2023-01-01 01:15:00,7.15,0.7,0.3,8.15
2023-01-01 01:30:00,7.15,0.7,0.3,8.15
2023-01-01 01:45:00,7.15,0.7,0.3,8.15
2023-01-01 02:00:00,7.93,0.2,0.3,8.43
2023-01-01 02:15:00,7.93,0.2,0.3,8.43
2023-01-01 02:30:00,7.93,0.2,0.3,8.43
2023-01-01 02:45:00,7.93,0.2,0.3,8.43
2023-01-01 03:00:00,11.35,1.44,0.37,13.159999999999998
2023-01-01 03:15:00,11.35,1.44,0.37,13.159999999999998
2023-01-01 03:30:00,11.35,1.44,0.37,13.159999999999998
2023-01-01 03:45:00,11.35,1.44,0.37,13.159999999999998
2023-01-01 04:00:00,15.43,0.7,1.14,17.27
2023-01-01 04:15:00,15.43,0.7,1.14,17.27
2023-01-01 04:30:00,15.43,0.7,1.14,17.27
2023-01-01 04:45:00,15.43,0.7,1.14,17.27
2023-01-01 05:00:00,22.55,2.07,0.3,24.92
2023-01-01 05:15:00,22.55,2.07,0.3,24.92
2023-01-01 05:30:00,22.55,2.07,0.3,24.92
2023-01-01 05:45:00,22.55,2.07,0.3,24.92
2023-01-01 06:00:00,27.25,4.26,0.3,31.81
2023-01-01 06:15:00,27.25,4.26,0.3,31.81
2023-01-01 06:30:00,27.25,4.26,0.3,31.81
2023-01-01 06:45:00,27.25,4.26,0.3,31.81
2023-01-01 07:00:00,32.0,1.36,1.31,34.67
2023-01-01 07:15:00,32.0,1.36,1.31,34.67
2023-01-01 07:30:00,32.0,1.36,1.31,34.67
2023-01-01 07:45:00,32.0,1.36,1.31,34.67
2023-01-01 08:00:00,24.24,13.83,7.96,46.03
2023-01-01 08:15:00,24.24,13.83,7.96,46.03
2023-01-01 08:30:00,24.24,13.83,7.96,46.03
2023-01-01 08:45:00,24.24,13.83,7.96,46.03
2023-01-01 09:00:00,20.82,15.21,9.35,45.38
2023-01-01 09:15:00,20.82,15.21,9.35,45.38
2023-01-01 09:30:00,20.82,15.21,9.35,45.38
2023-01-01 09:45:00,20.82,15.21,9.35,45.38
2023-01-01 10:00:00,15.86,16.08,8.15,40.089999999999996
2023-01-01 10:15:00,15.86,16.08,8.15,40.089999999999996
2023-01-01 10:30:00,15.86,16.08,8.15,40.089999999999996
2023-01-01 10:45:00,15.86,16.08,8.15,40.089999999999996
2023-01-01 11:00:00,6.67,12.45,2.67,21.79
2023-01-01 11:15:00,6.67,12.45,2.67,21.79
2023-01-01 11:30:00,6.67,12.45,2.67,21.79
2023-01-01 11:45:00,6.67,12.45,2.67,21.79
2023-01-01 12:00:00,7.81,14.13,4.96,26.900000000000002
2023-01-01 12:15:00,7.81,14.13,4.96,26.900000000000002
2023-01-01 12:30:00,7.81,14.13,4.96,26.900000000000002
2023-01-01 12:45:00,7.81,14.13,4.96,26.900000000000002
2023-01-01 13:00:00,11.81,11.37,6.77,29.95
2023-01-01 13:15:00,11.81,11.37,6.77,29.95
2023-01-01 13:30:00,11.81,11.37,6.77,29.95
