Time,date,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-06-05 00:00:00,2023-06-05,0,-4.5069478131168955e-14,1.0,156,0.4574826901202872,-0.8892185267077521,-3.72e-05,-7.09e-05,-5.17e-05,-6.5e-05,-0.000214,
2023-06-05 00:15:00,2023-06-05,0,0.0654031292301427,0.9978589232386036,156,0.4573233387334162,-0.8893004913131,-0.000153,-0.00016,-0.000155,-0.000191,-0.00045,
2023-06-05 00:30:00,2023-06-05,0,0.1305261922200957,0.9914448613738046,156,0.4571639726614079,-0.8893824273620653,-0.00067,-0.000603,-0.000224,-0.00031,-0.000441,
2023-06-05 00:45:00,2023-06-05,0,0.1950903220159928,0.9807852804032574,156,0.4570045919093795,-0.8894643348520173,-0.00072,-0.000606,-0.000255,-0.00026,-0.000548,
2023-06-05 01:00:00,2023-06-05,1,0.2588190451024306,0.9659258262890924,156,0.4568451964824483,-0.8895462137803258,-0.000873,-0.000706,-0.000655,-0.000516,-0.000985,
2023-06-05 01:15:00,2023-06-05,1,0.3214394653031156,0.9469301294951212,156,0.4566857863857336,-0.8896280641443615,-0.00101,-0.00089,-0.000331,-0.000352,-0.000578,
2023-06-05 01:30:00,2023-06-05,1,0.3826834323650863,0.9238795325112882,156,0.4565263616243532,-0.8897098859414962,-0.00137,-0.00115,-0.000541,-0.000516,-0.000793,
2023-06-05 01:45:00,2023-06-05,1,0.4422886902189361,0.8968727415327205,156,0.4563669222034278,-0.8897916791691022,-0.00136,-0.00115,-0.000314,-0.00042,-0.000411,
2023-06-05 02:00:00,2023-06-05,2,0.4999999999999758,0.8660254037844526,156,0.4562074681280755,-0.8898734438245536,-0.00067,-0.000759,-0.000431,-0.000627,-0.000433,
2023-06-05 02:15:00,2023-06-05,2,0.5555702330196163,0.8314696123025359,156,0.4560479994034178,-0.8899551799052243,-0.00252,-0.00173,-0.000269,-0.000294,-0.000703,
2023-06-05 02:30:00,2023-06-05,2,0.6087614290086794,0.7933533402912668,156,0.455888516034575,-0.89003688740849,0.000484,0.000248,-0.000321,-0.000409,-0.000227,
