Time,date,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-03-06 00:00:00,2023-03-06,0,-1.567547902908612e-14,1.0,65,0.8916504299249456,0.4527245418735985,-0.000653,-0.000546,-0.000221,-0.000394,-0.000321,
2023-03-06 00:15:00,2023-03-06,0,0.0654031292301153,0.9978589232386054,65,0.8917315418520483,0.4525647547767819,-0.00115,-0.000993,-0.000555,-0.000593,-0.000823,
2023-03-06 00:30:00,2023-03-06,0,0.1305261922200684,0.9914448613738082,65,0.891812625144705,0.4524049531476306,-0.0006,-0.000461,-6.890000000000001e-05,-0.000195,-0.000347,
2023-03-06 00:45:00,2023-03-06,0,0.1950903220160774,0.9807852804032404,65,0.8918936798003121,0.4522451369912765,-0.00106,-0.000887,-0.00147,-0.00146,-0.0022,
2023-03-06 01:00:00,2023-03-06,1,0.2588190451025139,0.96592582628907,65,0.8919747058162668,0.452085306312851,-0.00195,-0.00156,-0.00157,-0.00159,-0.00257,
2023-03-06 01:15:00,2023-03-06,1,0.3214394653031434,0.9469301294951118,65,0.8920557031899672,0.4519254611174868,-0.00407,-0.00367,-0.00102,-0.00105,-0.00243,
2023-03-06 01:30:00,2023-03-06,1,0.3826834323650609,0.9238795325112988,65,0.8921366719188125,0.4517656014103166,0.000199,0.000319,-0.000348,-0.000505,-0.000947,
2023-03-06 01:45:00,2023-03-06,1,0.4422886902190134,0.8968727415326823,65,0.8922176120002029,0.4516057271964732,0.000587,0.000699,0.000124,0.000214,8.14e-05,
2023-03-06 02:00:00,2023-03-06,2,0.499999999999952,0.8660254037844664,65,0.8922985234315389,0.4514458384810911,-0.00247,-0.00244,-0.000776,-0.000707,-0.0011799999999999,
2023-03-06 02:15:00,2023-03-06,2,0.5555702330195934,0.8314696123025511,65,0.8923794062102227,0.4512859352693039,-0.00224,-0.00218,-0.00232,-0.00184,-0.00333,
2023-03-06 02:30:00,2023-03-06,2,0.6087614290087027,0.7933533402912489,65,0.8924602603336568,0.4511260175662467,-0.00392,-0.00356,-0.00145,-0.00161,-0.00282,
2023-03-06 02:45:00,2023-03-06,2,0.6593458151000855,0.7518398074789628,65,0.8925410857992451,0.4509660853770543,-0.00079,-0.000734,-0.00113,-0.00106,-0.00166,
2023-03-06 03:00:00,2023-03-06,3,0.7071067811865547,0.7071067811865405,65,0.892621882604392,0.4508061387068625,-0.0025,-0.00202,-0.000438,-0.000195,-0.00104,
2023-03-06 03:15:00,2023-03-06,3,0.7518398074789386,0.6593458151001131,65,0.8927026507465032,0.4506461775608074,-0.00206,-0.00155,-0.000579,-0.000696,-0.000561,
2023-03-06 03:30:00,2023-03-06,3,0.7933533402912266,0.6087614290087318,65,0.8927833902229853,0.4504862019440249,-0.000703,-0.000422,-0.000489,-0.000443,-0.000797,
2023-03-06 03:45:00,2023-03-06,3,0.8314696123025307,0.5555702330196239,65,0.8928641010312452,0.4503262118616529,-0.00215,-0.00184,-0.000776,-0.000952,-0.00114,
2023-03-06 04:00:00,2023-03-06,4,0.8660254037844479,0.4999999999999838,65,0.8929447831686916,0.4501662073188281,-0.000715,-0.000578,-0.000334,-0.000398,-0.0006,
2023-03-06 04:15:00,2023-03-06,4,0.8968727415326913,0.4422886902189954,65,0.8930254366327336,0.4500061883206891,-0.00127,-0.00102,-0.000976,-0.00114,-0.00132,
2023-03-06 04:30:00,2023-03-06,4,0.9238795325112628,0.3826834323651474,65,0.8931060614207812,0.4498461548723739,9.51e-05,0.000333,-0.000941,-0.000791,-0.00126,
2023-03-06 04:45:00,2023-03-06,4,0.9469301294951,0.3214394653031782,65,0.8931866575302456,0.4496861069790212,-0.00195,-0.0017,-0.00113,-0.0014299999999999,-0.00148,
2023-03-06 05:00:00,2023-03-06,5,0.9659258262890608,0.2588190451025494,65,0.8932672249585387,0.4495260446457706,-0.000529,-0.000443,-0.000238,-0.000528,-0.000176,
2023-03-06 05:15:00,2023-03-06,5,0.9807852804032334,0.1950903220161134,65,0.8933477637030737,0.4493659678777614,-0.00115,-0.00101,-0.0008,-0.000917,-0.00114,
2023-03-06 05:30:00,2023-03-06,5,0.9914448613738108,0.1305261922200485,65,0.8934282737612638,0.4492058766801345,-0.00211,-0.00197,-0.000327,-0.000466,-0.000784,
2023-03-06 05:45:00,2023-03-06,5,0.9978589232385991,0.0654031292302087,65,0.8935087551305241,0.4490457710580304,0.00177,0.00181,0.000872,0.000638,0.000638,
