Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-03-06 00:00:00,7.45,9.92,3.93,21.3
2023-03-06 00:15:00,7.5225,7.5675,4.0125,19.1025
2023-03-06 00:30:00,7.595000000000001,5.215,4.095,16.905
2023-03-06 00:45:00,7.6675,2.8625,4.1775,14.7075
2023-03-06 01:00:00,7.74,0.51,4.26,12.51
2023-03-06 01:15:00,8.0475,1.805,4.199999999999999,14.052499999999998
2023-03-06 01:30:00,8.355,3.1000000000000005,4.14,15.595000000000002
2023-03-06 01:45:00,8.662500000000001,4.3950000000000005,4.08,17.137500000000003
2023-03-06 02:00:00,8.97,5.69,4.02,18.68
2023-03-06 02:15:00,8.93,5.880000000000001,3.6575,18.4675
2023-03-06 02:30:00,8.89,6.07,3.295,18.255000000000003
2023-03-06 02:45:00,8.850000000000001,6.26,2.9325,18.0425
2023-03-06 03:00:00,8.81,6.45,2.57,17.830000000000002
2023-03-06 03:15:00,9.9125,5.8100000000000005,2.2775,18.0
2023-03-06 03:30:00,11.015,5.17,1.985,18.17
2023-03-06 03:45:00,12.1175,4.53,1.6925,18.34
2023-03-06 04:00:00,13.22,3.89,1.4,18.51
2023-03-06 04:15:00,14.885,4.1925,1.5825,20.66
2023-03-06 04:30:00,16.55,4.495,1.765,22.81
2023-03-06 04:45:00,18.215,4.797499999999999,1.9475,24.96
2023-03-06 05:00:00,19.88,5.1,2.13,27.11
2023-03-06 05:15:00,20.9475,4.762499999999999,2.5575,28.2675
2023-03-06 05:30:00,22.015,4.425,2.985,29.425
2023-03-06 05:45:00,23.0825,4.0875,3.4125,30.582500000000003
2023-03-06 06:00:00,24.15,3.75,3.84,31.74
2023-03-06 06:15:00,25.7825,4.7225,4.42,34.925
2023-03-06 06:30:00,27.415,5.695,5.0,38.11
2023-03-06 06:45:00,29.0475,6.6675,5.58,41.295
2023-03-06 07:00:00,30.68,7.64,6.16,44.48
2023-03-06 07:15:00,29.455,19.0925,14.2525,62.8
2023-03-06 07:30:00,28.23,30.545,22.345,81.12
2023-03-06 07:45:00,27.005000000000003,41.9975,30.437500000000004,99.44
2023-03-06 08:00:00,25.78,53.45,38.53,117.76
2023-03-06 08:15:00,24.01,52.2975,38.4575,114.765
2023-03-06 08:30:00,22.24,51.145,38.385000000000005,111.77
2023-03-06 08:45:00,20.47,49.99250000000001,38.3125,108.775
2023-03-06 09:00:00,18.7,48.84,38.24,105.78
2023-03-06 09:15:00,16.627499999999998,48.650000000000006,38.260000000000005,103.5375
2023-03-06 09:30:00,14.555,48.46,38.28,101.295
2023-03-06 09:45:00,12.4825,48.27,38.3,99.0525
2023-03-06 10:00:00,10.41,48.08,38.32,96.81
2023-03-06 10:15:00,10.34,48.17,38.565,97.075
2023-03-06 10:30:00,10.27,48.26,38.81,97.34
2023-03-06 10:45:00,10.2,48.35,39.055,97.605
2023-03-06 11:00:00,10.13,48.44,39.3,97.87
2023-03-06 11:15:00,10.3475,48.86,38.085,97.2925
2023-03-06 11:30:00,10.565,49.28,36.87,96.715
2023-03-06 11:45:00,10.7825,49.7,35.655,96.1375
2023-03-06 12:00:00,11.0,50.12,34.44,95.56
2023-03-06 12:15:00,10.36,48.8975,35.537499999999994,94.795
2023-03-06 12:30:00,9.72,47.675,36.635,94.03
2023-03-06 12:45:00,9.08,46.4525,37.7325,93.265
2023-03-06 13:00:00,8.44,45.23,38.83,92.5
2023-03-06 13:15:00,8.8775,46.0825,38.8,93.76
2023-03-06 13:30:00,9.315,46.935,38.77,95.02
2023-03-06 13:45:00,9.7525,47.7875,38.74,96.28
2023-03-06 14:00:00,10.19,48.64,38.71,97.54
2023-03-06 14:15:00,10.1525,47.6675,39.0125,96.8325
2023-03-06 14:30:00,10.114999999999998,46.695,39.315,96.125
2023-03-06 14:45:00,10.0775,45.7225,39.6175,95.4175
2023-03-06 15:00:00,10.04,44.75,39.92,94.71
2023-03-06 15:15:00,11.1175,45.41,39.005,95.5325
