Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-01-02 00:00:00,5.23,5.19,4.7,15.12
2023-01-02 00:15:00,5.8775,5.87,4.26,16.0075
2023-01-02 00:30:00,6.525,6.550000000000001,3.82,16.895000000000003
2023-01-02 00:45:00,7.1725,7.23,3.38,17.7825
2023-01-02 01:00:00,7.82,7.91,2.94,18.67
2023-01-02 01:15:00,8.0425,8.7275,2.645,19.415
2023-01-02 01:30:00,8.265,9.545,2.35,20.160000000000004
2023-01-02 01:45:00,8.4875,10.3625,2.055,20.905
2023-01-02 02:00:00,8.71,11.18,1.76,21.65
2023-01-02 02:15:00,9.0475,9.5725,2.135,20.755000000000003
2023-01-02 02:30:00,9.385000000000002,7.965,2.51,19.86
2023-01-02 02:45:00,9.7225,6.3575,2.885,18.965
2023-01-02 03:00:00,10.06,4.75,3.26,18.07
2023-01-02 03:15:00,10.3375,5.3675,4.2875,19.9925
2023-01-02 03:30:00,10.615,5.984999999999999,5.315,21.915
2023-01-02 03:45:00,10.8925,6.6025,6.3425,23.8375
2023-01-02 04:00:00,11.17,7.22,7.37,25.76
2023-01-02 04:15:00,13.165,7.425,6.8625,27.4525
2023-01-02 04:30:00,15.16,7.629999999999999,6.355,29.145
2023-01-02 04:45:00,17.155,7.834999999999999,5.8475,30.8375
2023-01-02 05:00:00,19.15,8.04,5.34,32.53
2023-01-02 05:15:00,21.395,8.3425,4.8925,34.629999999999995
2023-01-02 05:30:00,23.64,8.645,4.445,36.73
2023-01-02 05:45:00,25.885,8.9475,3.9975,38.83
2023-01-02 06:00:00,28.13,9.25,3.55,40.92999999999999
2023-01-02 06:15:00,28.075,8.7025,3.205,39.9825
2023-01-02 06:30:00,28.02,8.155,2.86,39.035
2023-01-02 06:45:00,27.965,7.6075,2.515,38.0875
2023-01-02 07:00:00,27.91,7.06,2.17,37.14
2023-01-02 07:15:00,27.9625,17.7125,11.1075,56.7825
2023-01-02 07:30:00,28.015,28.365,20.045,76.425
2023-01-02 07:45:00,28.067500000000003,39.0175,28.9825,96.0675
2023-01-02 08:00:00,28.12,49.67,37.92,115.71
2023-01-02 08:15:00,26.105,50.585,37.77,114.46
2023-01-02 08:30:00,24.09,51.5,37.620000000000005,113.21
2023-01-02 08:45:00,22.075,52.415,37.47,111.96
2023-01-02 09:00:00,20.06,53.33,37.32,110.71
2023-01-02 09:15:00,19.165,52.685,36.8475,108.6975
2023-01-02 09:30:00,18.27,52.04,36.375,106.685
2023-01-02 09:45:00,17.375,51.395,35.9025,104.6725
2023-01-02 10:00:00,16.48,50.75,35.43,102.66
2023-01-02 10:15:00,14.7325,51.4625,36.1775,102.3725
2023-01-02 10:30:00,12.985,52.175,36.925,102.085
2023-01-02 10:45:00,11.2375,52.8875,37.6725,101.7975
2023-01-02 11:00:00,9.49,53.6,38.42,101.51
2023-01-02 11:15:00,9.4425,52.9225,38.24,100.605
2023-01-02 11:30:00,9.395,52.245000000000005,38.06,99.7
2023-01-02 11:45:00,9.3475,51.5675,37.88,98.79500000000002
2023-01-02 12:00:00,9.3,50.89,37.7,97.89
2023-01-02 12:15:00,8.895,50.3125,37.495000000000005,96.7025
2023-01-02 12:30:00,8.49,49.735,37.290000000000006,95.515
2023-01-02 12:45:00,8.085,49.1575,37.085,94.3275
2023-01-02 13:00:00,7.68,48.58,36.88,93.14
2023-01-02 13:15:00,8.03,48.3225,37.4125,93.765
2023-01-02 13:30:00,8.379999999999999,48.065,37.945,94.39
2023-01-02 13:45:00,8.73,47.8075,38.4775,95.015
2023-01-02 14:00:00,9.08,47.55,39.01,95.64
2023-01-02 14:15:00,9.205,47.905,39.1525,96.2625
2023-01-02 14:30:00,9.33,48.26,39.295,96.885
2023-01-02 14:45:00,9.455,48.615,39.4375,97.5075
2023-01-02 15:00:00,9.58,48.97,39.58,98.13
2023-01-02 15:15:00,10.445,48.4175,38.9975,97.86
2023-01-02 15:30:00,11.31,47.865,38.415,97.59
2023-01-02 15:45:00,12.175,47.3125,37.8325,97.32
2023-01-02 16:00:00,13.04,46.76,37.25,97.05
2023-01-02 16:15:00,14.607499999999998,47.7325,28.11,90.45
2023-01-02 16:30:00,16.174999999999997,48.705,18.97,83.85
2023-01-02 16:45:00,17.7425,49.6775,9.829999999999998,77.24999999999999
2023-01-02 17:00:00,19.31,50.65,0.69,70.64999999999999
2023-01-02 17:15:00,21.5325,49.64,0.7224999999999999,71.895
2023-01-02 17:30:00,23.755,48.63,0.7549999999999999,73.13999999999999
2023-01-02 17:45:00,25.9775,47.62,0.7875,74.38499999999999
2023-01-02 18:00:00,28.2,46.61,0.82,75.63
2023-01-02 18:15:00,29.2575,36.605,0.865,66.7275
2023-01-02 18:30:00,30.315,26.6,0.91,57.825
