Time,date,hour,hour_sin,hour_cos,day_of_year,doy_sin,doy_cos,Diffus_kW,Global0_kW,Global45_kW,Global60_kW,Global30_kW,ClearSky0_kW
2023-01-01 00:00:00,2023-01-01,0,0.0,1.0,1,0.0,1.0,-0.00222,-0.00179,-0.000886,-0.000772,-0.00211,
2023-01-01 00:15:00,2023-01-01,0,0.065403129230143,0.9978589232386036,1,0.0001791955936111,0.9999999839444697,-0.0023,-0.0018,-0.000717,-0.000745,-0.00215,
2023-01-01 00:30:00,2023-01-01,0,0.1305261922200515,0.9914448613738104,1,0.000358391181468,0.9999999357778784,-0.00231,-0.00171,-0.000655,-0.000719,-0.00221,
2023-01-01 00:45:00,2023-01-01,0,0.1950903220161282,0.9807852804032304,1,0.0005375867578167,0.9999998555002284,-0.00197,-0.00111,-0.000272,-0.000302,-0.00156,
2023-01-01 01:00:00,2023-01-01,1,0.2588190451025207,0.9659258262890684,1,0.0007167823169028,0.999999743111522,-0.00233,-0.00145,-0.000565,-0.000489,-0.00244,
2023-01-01 01:15:00,2023-01-01,1,0.3214394653031616,0.9469301294951056,1,0.0008959778529723,0.9999995986117628,-0.00249,-0.00156,-0.000614,-0.0006,-0.00244,
2023-01-01 01:30:00,2023-01-01,1,0.3826834323650898,0.9238795325112868,1,0.0010751733602711,0.9999994220009556,-0.00262,-0.00213,-0.000986,-0.000967,-0.00221,
2023-01-01 01:45:00,2023-01-01,1,0.4422886902190012,0.8968727415326884,1,0.0012543688330448,0.999999213279106,-0.00328,-0.00291,-0.00174,-0.00148,-0.00326,
2023-01-01 02:00:00,2023-01-01,2,0.4999999999999999,0.8660254037844387,1,0.0014335642655395,0.9999989724462204,-0.00308,-0.00274,-0.00174,-0.0019199999999999,-0.00328,
2023-01-01 02:15:00,2023-01-01,2,0.5555702330196022,0.8314696123025452,1,0.0016127596520009,0.9999986995023068,-0.00219,-0.00182,-0.00133,-0.00125,-0.00222,
2023-01-01 02:30:00,2023-01-01,2,0.6087614290087207,0.7933533402912352,1,0.0017919549866748,0.999998394447374,-0.00266,-0.00241,-0.0015,-0.00149,-0.00272,
2023-01-01 02:45:00,2023-01-01,2,0.6593458151000688,0.7518398074789774,1,0.0019711502638072,0.9999980572814317,-0.00225,-0.00178,-0.000855,-0.000902,-0.00207,
2023-01-01 03:00:00,2023-01-01,3,0.7071067811865475,0.7071067811865476,1,0.0021503454776438,0.9999976880044908,-0.00219,-0.00138,-0.000469,-0.000501,-0.00174,
2023-01-01 03:15:00,2023-01-01,3,0.7518398074789774,0.6593458151000688,1,0.0023295406224306,0.999997286616563,-0.00281,-0.0020499999999999,-0.000948,-0.000833,-0.00287,
2023-01-01 03:30:00,2023-01-01,3,0.7933533402912352,0.6087614290087207,1,0.0025087356924134,0.9999968531176614,-0.0030099999999999,-0.00247,-0.00146,-0.0012,-0.00293,
2023-01-01 03:45:00,2023-01-01,3,0.8314696123025451,0.5555702330196024,1,0.002687930681838,0.9999963875077996,-0.00292,-0.0025499999999999,-0.00138,-0.00133,-0.0028799999999999,
2023-01-01 04:00:00,2023-01-01,4,0.8660254037844386,0.5000000000000001,1,0.0028671255849502,0.9999958897869932,-0.00237,-0.00159,-0.000814,-0.000776,-0.00214,
2023-01-01 04:15:00,2023-01-01,4,0.8968727415326884,0.4422886902190012,1,0.0030463203959961,0.9999953599552576,-0.0023799999999999,-0.00147,-0.00061,-0.000478,-0.0019399999999999,
2023-01-01 04:30:00,2023-01-01,4,0.9238795325112868,0.3826834323650898,1,0.0032255151092213,0.9999947980126096,-0.00333,-0.00259,-0.00151,-0.0014199999999999,-0.00349,
2023-01-01 04:45:00,2023-01-01,4,0.9469301294951056,0.3214394653031617,1,0.0034047097188719,0.999994203959068,-0.00271,-0.00229,-0.0014,-0.00157,-0.00262,
2023-01-01 05:00:00,2023-01-01,5,0.9659258262890684,0.2588190451025207,1,0.0035839042191936,0.9999935777946516,-0.00258,-0.00229,-0.00132,-0.00125,-0.00237,
2023-01-01 05:15:00,2023-01-01,5,0.9807852804032304,0.1950903220161283,1,0.0037630986044323,0.99999291951938,-0.00213,-0.00196,-0.000889,-0.00102,-0.00189,
2023-01-01 05:30:00,2023-01-01,5,0.9914448613738104,0.1305261922200517,1,0.003942292868834,0.999992229133275,-0.00211,-0.0019299999999999,-0.000989,-0.00113,-0.00222,
2023-01-01 05:45:00,2023-01-01,5,0.9978589232386036,0.0654031292301432,1,0.0041214870066444,0.9999915066363584,-0.0022,-0.0019,-0.000962,-0.00099,-0.00222,
2023-01-01 06:00:00,2023-01-01,6,1.0,6.123233995736766e-17,1,0.0043006810121095,0.9999907520286536,-0.00218,-0.00185,-0.000979,-0.000929,-0.00208,
2023-01-01 06:15:00,2023-01-01,6,0.9978589232386036,-0.0654031292301431,1,0.0044798748794752,0.9999899653101846,-0.00221,-0.00152,-0.000476,-0.000382,-0.0020099999999999,
2023-01-01 06:30:00,2023-01-01,6,0.9914448613738104,-0.1305261922200516,1,0.0046590686029874,0.9999891464809768,-0.00163,-0.00139,-0.000176,-0.000203,-0.00135,
2023-01-01 06:45:00,2023-01-01,6,0.9807852804032304,-0.1950903220161282,1,0.0048382621768919,0.9999882955410566,0.00139,0.00195,0.0037099999999999,0.00358,0.00247,
2023-01-01 07:00:00,2023-01-01,7,0.9659258262890684,-0.2588190451025206,1,0.0050174555954347,0.9999874124904512,0.00828,0.00889,0.0128,0.0126,0.011,
2023-01-01 07:15:00,2023-01-01,7,0.9469301294951056,-0.3214394653031616,1,0.0051966488528617,0.999986497329189,0.0193999999999999,0.0361,0.134,0.136,0.11,
2023-01-01 07:30:00,2023-01-01,7,0.9238795325112868,-0.3826834323650895,1,0.0053758419434187,0.9999855500572992,0.0276,0.0668,0.237,0.239,0.198,
2023-01-01 07:45:00,2023-01-01,7,0.8968727415326884,-0.4422886902190011,1,0.0055550348613518,0.9999845706748124,0.0355,0.0947,0.32,0.318,0.273,
2023-01-01 08:00:00,2023-01-01,8,0.8660254037844387,-0.4999999999999998,1,0.0057342276009068,0.9999835591817604,0.0422,0.13,0.403,0.408,0.348,
2023-01-01 08:15:00,2023-01-01,8,0.8314696123025451,-0.5555702330196023,1,0.0059134201563297,0.9999825155781747,0.0469,0.166,0.491,0.496,0.428,
2023-01-01 08:30:00,2023-01-01,8,0.7933533402912352,-0.6087614290087207,1,0.0060926125218663,0.9999814398640898,0.0502,0.186,0.525,0.531,0.459,
