Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-01-06 00:00:00,9.8,7.33,2.32,19.450000000000003
2023-01-06 00:15:00,9.4425,6.28,1.815,17.5375
2023-01-06 00:30:00,9.085,5.23,1.3099999999999998,15.625000000000002
2023-01-06 00:45:00,8.7275,4.18,0.8049999999999997,13.7125
2023-01-06 01:00:00,8.37,3.13,0.3,11.8
2023-01-06 01:15:00,8.209999999999999,4.56,1.2925,14.0625
2023-01-06 01:30:00,8.05,5.99,2.285,16.325
2023-01-06 01:45:00,7.890000000000001,7.42,3.2775,18.5875
2023-01-06 02:00:00,7.73,8.85,4.27,20.85
2023-01-06 02:15:00,8.7775,9.1075,3.2775,21.1625
2023-01-06 02:30:00,9.825,9.365,2.285,21.475
2023-01-06 02:45:00,10.8725,9.6225,1.2924999999999995,21.7875
2023-01-06 03:00:00,11.92,9.88,0.3,22.1
2023-01-06 03:15:00,13.435,8.4525,0.7825,22.67
2023-01-06 03:30:00,14.95,7.025,1.265,23.24
2023-01-06 03:45:00,16.465,5.5975,1.7475,23.81
2023-01-06 04:00:00,17.98,4.17,2.23,24.38
2023-01-06 04:15:00,19.1375,4.4675,1.84,25.445
2023-01-06 04:30:00,20.295,4.765000000000001,1.45,26.51
2023-01-06 04:45:00,21.4525,5.0625,1.06,27.575
2023-01-06 05:00:00,22.61,5.36,0.67,28.64
2023-01-06 05:15:00,23.495,6.13,1.6925,31.317499999999995
2023-01-06 05:30:00,24.38,6.9,2.715,33.995000000000005
2023-01-06 05:45:00,25.265,7.67,3.7375,36.6725
2023-01-06 06:00:00,26.15,8.44,4.76,39.35
2023-01-06 06:15:00,27.055,7.352499999999999,4.245,38.6525
2023-01-06 06:30:00,27.96,6.265,3.73,37.955
2023-01-06 06:45:00,28.865,5.1775,3.215,37.25749999999999
2023-01-06 07:00:00,29.77,4.09,2.7,36.56
2023-01-06 07:15:00,29.1575,14.97,11.3475,55.475
2023-01-06 07:30:00,28.545,25.85,19.995,74.38999999999999
2023-01-06 07:45:00,27.9325,36.73,28.642499999999995,93.305
2023-01-06 08:00:00,27.32,47.61,37.29,112.22
2023-01-06 08:15:00,25.68,47.4075,36.5725,109.66
2023-01-06 08:30:00,24.04,47.205,35.855000000000004,107.1
2023-01-06 08:45:00,22.4,47.0025,35.1375,104.54
2023-01-06 09:00:00,20.76,46.8,34.42,101.98
2023-01-06 09:15:00,19.1625,47.4525,34.86,101.475
2023-01-06 09:30:00,17.565,48.105,35.3,100.97
2023-01-06 09:45:00,15.9675,48.75749999999999,35.74,100.465
2023-01-06 10:00:00,14.37,49.41,36.18,99.96
2023-01-06 10:15:00,14.27,49.2825,36.7925,100.345
2023-01-06 10:30:00,14.17,49.155,37.405,100.73
2023-01-06 10:45:00,14.07,49.0275,38.0175,101.115
2023-01-06 11:00:00,13.97,48.9,38.63,101.5
2023-01-06 11:15:00,12.9725,48.7025,39.06,100.735
2023-01-06 11:30:00,11.975,48.505,39.49,99.97
2023-01-06 11:45:00,10.9775,48.3075,39.92,99.205
2023-01-06 12:00:00,9.98,48.11,40.35,98.44
2023-01-06 12:15:00,9.66,47.0475,39.275,95.9825
2023-01-06 12:30:00,9.34,45.985,38.2,93.525
2023-01-06 12:45:00,9.02,44.9225,37.125,91.0675
2023-01-06 13:00:00,8.7,43.86,36.05,88.61
2023-01-06 13:15:00,9.015,46.2,36.56,91.775
2023-01-06 13:30:00,9.33,48.54,37.07,94.94
2023-01-06 13:45:00,9.645,50.88,37.58,98.105
2023-01-06 14:00:00,9.96,53.22,38.09,101.27
2023-01-06 14:15:00,9.8675,52.49,38.4875,100.845
2023-01-06 14:30:00,9.775,51.76,38.885000000000005,100.42
2023-01-06 14:45:00,9.6825,51.03,39.2825,99.995
2023-01-06 15:00:00,9.59,50.3,39.68,99.57
2023-01-06 15:15:00,10.6175,51.4975,39.265,101.38
2023-01-06 15:30:00,11.645,52.695,38.85,103.19
2023-01-06 15:45:00,12.6725,53.8925,38.435,105.0
2023-01-06 16:00:00,13.7,55.09,38.02,106.81
