Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-07-06 00:00:00,5.99,11.54,0.3,17.830000000000002
2023-07-06 00:15:00,6.5875,9.485,0.71,16.7825
2023-07-06 00:30:00,7.1850000000000005,7.43,1.12,15.735
2023-07-06 00:45:00,7.782500000000001,5.375,1.53,14.6875
2023-07-06 01:00:00,8.38,3.32,1.94,13.64
2023-07-06 01:15:00,7.865,4.28,1.53,13.675
2023-07-06 01:30:00,7.35,5.24,1.12,13.71
2023-07-06 01:45:00,6.835000000000001,6.2,0.71,13.745
2023-07-06 02:00:00,6.32,7.16,0.3,13.78
2023-07-06 02:15:00,6.28,7.4275,0.3,14.0075
2023-07-06 02:30:00,6.24,7.695,0.3,14.235
2023-07-06 02:45:00,6.2,7.9625,0.3,14.462500000000002
2023-07-06 03:00:00,6.16,8.23,0.3,14.69
2023-07-06 03:15:00,6.8075,7.98,0.3,15.087500000000002
2023-07-06 03:30:00,7.455,7.73,0.3,15.485
2023-07-06 03:45:00,8.1025,7.48,0.3,15.8825
2023-07-06 04:00:00,8.75,7.23,0.3,16.28
2023-07-06 04:15:00,9.3375,6.95,0.3,16.587500000000002
2023-07-06 04:30:00,9.925,6.67,0.3,16.895
2023-07-06 04:45:00,10.5125,6.390000000000001,0.3,17.2025
2023-07-06 05:00:00,11.1,6.11,0.3,17.51
2023-07-06 05:15:00,12.7775,6.317500000000001,0.6925,19.7875
2023-07-06 05:30:00,14.454999999999998,6.525,1.085,22.065
2023-07-06 05:45:00,16.1325,6.7325,1.4775,24.3425
2023-07-06 06:00:00,17.81,6.94,1.87,26.62
2023-07-06 06:15:00,17.1575,6.365,1.7525,25.275
2023-07-06 06:30:00,16.505,5.79,1.635,23.93
2023-07-06 06:45:00,15.8525,5.215,1.5175,22.585
2023-07-06 07:00:00,15.2,4.64,1.4,21.24
2023-07-06 07:15:00,15.2525,16.505,2.17,33.9275
2023-07-06 07:30:00,15.305,28.37,2.9400000000000004,46.615
2023-07-06 07:45:00,15.3575,40.235,3.71,59.3025
2023-07-06 08:00:00,15.41,52.1,4.48,71.99000000000001
2023-07-06 08:15:00,14.7925,51.2575,6.53,72.58
2023-07-06 08:30:00,14.175,50.415,8.58,73.17
2023-07-06 08:45:00,13.5575,49.5725,10.63,73.75999999999999
2023-07-06 09:00:00,12.94,48.73,12.68,74.35
2023-07-06 09:15:00,12.1325,49.77,12.0375,73.94
2023-07-06 09:30:00,11.325,50.81,11.395,73.53
2023-07-06 09:45:00,10.5175,51.85,10.7525,73.12
2023-07-06 10:00:00,9.71,52.89,10.11,72.71000000000001
2023-07-06 10:15:00,8.8125,52.4275,10.035,71.275
2023-07-06 10:30:00,7.915000000000001,51.965,9.96,69.84
2023-07-06 10:45:00,7.0175,51.5025,9.885,68.405
2023-07-06 11:00:00,6.12,51.04,9.81,66.97
2023-07-06 11:15:00,6.005,51.3825,9.27,66.6575
2023-07-06 11:30:00,5.890000000000001,51.725,8.73,66.345
