Time,Conso_resident,Conso_bureau,Conso_ecole,Conso_tot
2023-03-11 00:00:00,7.51,1.67,0.3,9.48
2023-03-11 00:15:00,7.38,1.4275,0.3,9.1075
2023-03-11 00:30:00,7.25,1.185,0.3,8.735000000000001
2023-03-11 00:45:00,7.12,0.9425,0.3,8.3625
2023-03-11 01:00:00,6.99,0.7,0.3,7.99
2023-03-11 01:15:00,6.3825,0.635,2.19,9.2075
2023-03-11 01:30:00,5.775,0.57,4.08,10.425
2023-03-11 01:45:00,5.1675,0.505,5.97,11.642499999999998
2023-03-11 02:00:00,4.56,0.44,7.86,12.86
2023-03-11 02:15:00,5.84,1.365,5.970000000000001,13.175
2023-03-11 02:30:00,7.119999999999999,2.29,4.08,13.49
2023-03-11 02:45:00,8.399999999999999,3.215,2.1900000000000004,13.805
2023-03-11 03:00:00,9.68,4.14,0.3,14.12
2023-03-11 03:15:00,11.1,3.4125,1.21,15.7225
2023-03-11 03:30:00,12.52,2.685,2.12,17.325
2023-03-11 03:45:00,13.94,1.9575,3.03,18.9275
2023-03-11 04:00:00,15.36,1.23,3.94,20.53
2023-03-11 04:15:00,17.1225,1.0975,3.03,21.25
2023-03-11 04:30:00,18.885,0.965,2.12,21.97
2023-03-11 04:45:00,20.6475,0.8325,1.21,22.69
2023-03-11 05:00:00,22.41,0.7,0.3,23.41
2023-03-11 05:15:00,23.655,0.7,0.3,24.655
2023-03-11 05:30:00,24.9,0.7,0.3,25.9
2023-03-11 05:45:00,26.145,0.7,0.3,27.145
2023-03-11 06:00:00,27.39,0.7,0.3,28.39
2023-03-11 06:15:00,27.315,1.6124999999999998,0.3,29.227500000000003
2023-03-11 06:30:00,27.24,2.5249999999999995,0.3,30.065
2023-03-11 06:45:00,27.165,3.4375,0.3,30.9025
2023-03-11 07:00:00,27.09,4.35,0.3,31.74
2023-03-11 07:15:00,26.5425,5.7925,1.9025,34.237500000000004
2023-03-11 07:30:00,25.995,7.234999999999999,3.505,36.735
2023-03-11 07:45:00,25.4475,8.677499999999998,5.1075,39.2325
2023-03-11 08:00:00,24.9,10.12,6.71,41.73
2023-03-11 08:15:00,23.6175,10.8575,6.25,40.725
2023-03-11 08:30:00,22.335,11.595,5.79,39.72
2023-03-11 08:45:00,21.0525,12.3325,5.33,38.715
2023-03-11 09:00:00,19.77,13.07,4.87,37.71
2023-03-11 09:15:00,17.715,13.435,4.9625,36.1125
2023-03-11 09:30:00,15.66,13.8,5.055,34.515
2023-03-11 09:45:00,13.605,14.165,5.1475,32.9175
2023-03-11 10:00:00,11.55,14.53,5.24,31.32
2023-03-11 10:15:00,10.655,14.5125,4.46,29.6275
2023-03-11 10:30:00,9.76,14.495,3.68,27.935
2023-03-11 10:45:00,8.865,14.4775,2.9000000000000004,26.2425
2023-03-11 11:00:00,7.97,14.46,2.12,24.55
2023-03-11 11:15:00,7.354999999999999,14.3175,2.92,24.5925
2023-03-11 11:30:00,6.74,14.175,3.72,24.635
2023-03-11 11:45:00,6.125,14.0325,4.5200000000000005,24.6775
2023-03-11 12:00:00,5.51,13.89,5.32,24.72
2023-03-11 12:15:00,5.51,13.21,5.6675,24.3875
2023-03-11 12:30:00,5.51,12.53,6.015000000000001,24.055
2023-03-11 12:45:00,5.51,11.85,6.3625,23.7225
2023-03-11 13:00:00,5.51,11.17,6.71,23.39
2023-03-11 13:15:00,5.65,11.9425,7.2525,24.845
2023-03-11 13:30:00,5.79,12.715,7.795,26.3
2023-03-11 13:45:00,5.93,13.4875,8.3375,27.755000000000003
2023-03-11 14:00:00,6.07,14.26,8.88,29.21
2023-03-11 14:15:00,6.5725,13.1875,7.9625,27.7225
2023-03-11 14:30:00,7.075,12.115,7.045,26.235
2023-03-11 14:45:00,7.577500000000001,11.0425,6.1275,24.7475
2023-03-11 15:00:00,8.08,9.97,5.21,23.26
2023-03-11 15:15:00,9.0325,9.3,5.7625,24.095
2023-03-11 15:30:00,9.985,8.63,6.315,24.93
2023-03-11 15:45:00,10.9375,7.96,6.8675,25.765
2023-03-11 16:00:00,11.89,7.29,7.42,26.6
2023-03-11 16:15:00,13.125,8.245,6.57,27.94
2023-03-11 16:30:00,14.36,9.2,5.72,29.28
2023-03-11 16:45:00,15.595,10.155,4.869999999999999,30.62
2023-03-11 17:00:00,16.83,11.11,4.02,31.96
2023-03-11 17:15:00,18.8775,10.895,3.1324999999999994,32.904999999999994
2023-03-11 17:30:00,20.925,10.68,2.245,33.849999999999994
2023-03-11 17:45:00,22.9725,10.465,1.3575,34.795
2023-03-11 18:00:00,25.02,10.25,0.47,35.739999999999995
2023-03-11 18:15:00,26.9775,8.995000000000001,0.4275,36.4
2023-03-11 18:30:00,28.935,7.74,0.385,37.06
2023-03-11 18:45:00,30.8925,6.485,0.3424999999999999,37.720000000000006
